ID	C_A.ACA	C_A.ACC	C_A.ACG	C_A.ACT	C_A.CCA	C_A.CCC	C_A.CCG	C_A.CCT	C_A.GCA	C_A.GCC	C_A.GCG	C_A.GCT	C_A.TCA	C_A.TCC	C_A.TCG	C_A.TCT	C_G.ACA	C_G.ACC	C_G.ACG	C_G.ACT	C_G.CCA	C_G.CCC	C_G.CCG	C_G.CCT	C_G.GCA	C_G.GCC	C_G.GCG	C_G.GCT	C_G.TCA	C_G.TCC	C_G.TCG	C_G.TCT	C_T.ACA	C_T.ACC	C_T.ACG	C_T.ACT	C_T.CCA	C_T.CCC	C_T.CCG	C_T.CCT	C_T.GCA	C_T.GCC	C_T.GCG	C_T.GCT	C_T.TCA	C_T.TCC	C_T.TCG	C_T.TCT	T_A.ATA	T_A.ATC	T_A.ATG	T_A.ATT	T_A.CTA	T_A.CTC	T_A.CTG	T_A.CTT	T_A.GTA	T_A.GTC	T_A.GTG	T_A.GTT	T_A.TTA	T_A.TTC	T_A.TTG	T_A.TTT	T_C.ATA	T_C.ATC	T_C.ATG	T_C.ATT	T_C.CTA	T_C.CTC	T_C.CTG	T_C.CTT	T_C.GTA	T_C.GTC	T_C.GTG	T_C.GTT	T_C.TTA	T_C.TTC	T_C.TTG	T_C.TTT	T_G.ATA	T_G.ATC	T_G.ATG	T_G.ATT	T_G.CTA	T_G.CTC	T_G.CTG	T_G.CTT	T_G.GTA	T_G.GTC	T_G.GTG	T_G.GTT	T_G.TTA	T_G.TTC	T_G.TTG	T_G.TTT
TCGA-A7-A13G-01A-11D-A13L-09	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2	0	1	0	1	0	2	1	0	0	4	2	5	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TCGA-A7-A26E-01A-11D-A272-09	1	1	0	0	0	0	0	1	2	1	1	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	1	6	0	0	0	6	0	1	1	3	1	9	3	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TCGA-A7-A26F-01A-21D-A167-09	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	2	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	2	9	0	4	0	3	1	1	1	0	1	2	0	4	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A7-A26G-01A-21D-A167-09	1	1	0	0	2	4	1	1	1	0	2	1	0	1	0	1	1	1	2	0	0	0	1	0	0	0	0	0	4	3	0	2	0	0	1	0	3	0	2	2	2	0	3	1	6	3	2	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A7-A26H-01A-11D-A167-09	2	1	2	1	0	1	1	0	0	1	0	0	3	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	11	6	2	12	0	0	9	1	2	1	11	1	1	2	4	0	19	7	6	11	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0
TCGA-A7-A26I-01A-11D-A167-09	1	0	0	0	0	2	2	0	1	0	0	0	0	1	1	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	2	1	0	0	2	2	0	1	1	0	3	3	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A7-A26J-01A-11D-A272-09	1	2	0	0	0	1	0	0	2	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	1	3	0	0	0	1	0	1	0	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0
TCGA-A7-A2KD-01A-31D-A21Q-09	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	4	0	1	1	7	2	0	2	5	0	4	3	3	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TCGA-A7-A3RF-01A-11D-A228-09	1	1	0	0	6	8	7	1	0	0	0	1	2	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	5	0	1	1	0	1	1	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	1	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A7-A425-01A-11D-A243-09	1	2	0	0	0	0	0	0	0	0	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	5	0	0	0	2	0	0	0	3	0	0	2	0	1	0	2	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
