Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	50.0	0.8	44.695	89.39%	6.512	59.948%	0.71572	0.734
V2	50.0	0.845	45.34	90.68%	5.75	53.854%	0.74874	0.794
V3	50.0	0.827	45.673	91.346%	6.594	56.963%	0.80504	0.782
V4	50.0	0.853	42.686	85.372%	5.73	52.749%	0.62344	0.808
V5	50.0	0.855	50.223	100.446%	6.757	53.756%	0.79729	0.831
V6	50.0	0.825	46.653	93.306%	7.588	56.558%	0.72176	0.791
V7	50.0	0.849	41.835	83.67%	5.888	52.876%	0.7623	0.804
V8	50.0	0.851	41.283	82.566%	6.095	53.05%	0.74307	0.812
V9	50.0	0.76	51.239	102.478%	7.969	65.067%	0.90222	0.699
V10	50.0	0.886	39.345	78.69%	5.905	46.978%	0.73082	0.863
V11	50.0	0.867	40.19	80.38%	5.097	49.98%	0.66564	0.819
V12	50.0	0.89	40.783	81.566%	5.326	45.67%	0.67951	0.862
V13	50.0	0.857	42.19	84.38%	5.817	52.665%	0.7392	0.817
V14	50.0	0.846	42.343	84.686%	6.106	53.553%	0.72505	0.803
V15	50.0	0.839	38.423	76.846%	6.111	54.441%	0.67502	0.792
V16	50.0	0.878	38.408	76.816%	5.174	48.039%	0.68525	0.839
V17	50.0	0.845	41.856	83.712%	6.059	53.554%	0.73961	0.8
V18	50.0	0.843	43.366	86.732%	6.477	53.975%	0.74264	0.805
V19	50.0	0.798	53.043	106.086%	7.742	60.455%	0.87848	0.754
V20	50.0	0.784	50.654	101.308%	7.772	62.226%	0.93583	0.734
V21	50.0	0.832	43.576	87.152%	6.079	55.962%	0.86395	0.78
V22	50.0	0.772	45.514	91.028%	6.364	64.286%	0.76323	0.675
V23	50.0	0.817	46.339	92.678%	6.678	57.689%	0.78648	0.766
V24	50.0	0.8	49.874	99.748%	8.247	60.147%	0.80812	0.763
V25	50.0	0.835	46.212	92.424%	6.091	55.145%	0.78076	0.784
